phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,e_Gmag,e_BPmag,e_RPmag,clase_real
17.749727,18.979424,16.666332,2.3130913,0.0009259941962557,0.0154942587934713,0.004338828497918,Enana
13.643121,14.473232,12.751575,1.7216568,0.000164899709782,0.0010284625691265,0.0004407547357314,Gigante
16.431221,17.214357,15.572915,1.6414423,0.0006645075513172,0.0083157602689918,0.0025712257573868,Enana
9.515605,9.66373,9.2449465,0.4187832,0.0005506308539996,0.0010002962532843,0.0006730150181114,Enana
16.36957,17.954319,15.145088,2.8092308,0.0008801377679779,0.0083493609748068,0.0018718908982934,Enana
12.574885,13.141987,11.855266,1.2867212,0.0003526863173855,0.0014255630119267,0.0008293875987189,Gigante
17.477396,18.912598,16.323843,2.5887547,0.0009879989427297,0.0233207293334376,0.0036301970671747,Enana
13.575264,14.444077,12.659236,1.7848406,0.0002046979538079,0.0010347922414175,0.0003946033224455,Gigante
12.927612,13.810737,12.00055,1.8101864,0.0001875214714038,0.0009950808693431,0.0003358238750697,Gigante
14.682291,15.182646,14.014977,1.1676683,0.0004981211031583,0.0033711203309849,0.001350834756353,Enana
13.774712,14.252471,13.128429,1.1240416,0.0001923500246581,0.0010689833276827,0.0005803856500831,Enana
16.052237,17.284306,14.961033,2.3232727,0.0008611807250826,0.0081907989156863,0.0022205609514639,Enana
17.120045,19.004847,15.816937,3.1879091,0.0009646487719838,0.0327436012180706,0.0030259474129,Enana
8.575062,9.047009,7.936393,1.1106167,0.0002359603326564,0.0007609845640639,0.0005067961599357,Gigante
12.670822,13.146507,12.014901,1.1316061,0.0007618526565991,0.0027874012808302,0.0020928990995395,Enana
13.208871,13.596735,12.639255,0.95748043,0.0011289062374269,0.0059271878206032,0.0028941514612164,Gigante
17.87135,19.304968,16.684546,2.6204224,0.0015687861070236,0.0483397876382989,0.0081952329090976,Enana
16.52109,17.427147,15.584547,1.8425999,0.0008208120962302,0.0081121243464411,0.0041117262750288,Enana
13.56768,14.3821335,12.680915,1.7012186,0.000158184352615,0.0011454372937127,0.0004668169556305,Gigante
14.011938,14.893728,13.0856085,1.8081198,0.000217452826705,0.0008965830047372,0.0004675636366416,Gigante
13.7966175,14.422328,13.04168,1.3806477,0.0002169768129267,0.0012365762962224,0.0007343606075545,Gigante
